name,link,score,location,date,state,city,address,map links,views,likes,cLink,cust_Score,num_Revs
Intrepid Summer Movie Series,https://onebite.app/restaurant/intrepid-summer-movie-series-new-york-ny-5bb90165/review/05a200be-009e-4a81-9eea-0a2d11f349eb,2.7,"New York, NY",2017-05-26 18:00:00.000000,NY,New York,"Pier 86 W 46th St 12th Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=Intrepid%2BSummer%2BMovie%2BSeries%2C%2BPier%2B86%2BW%2B46th%2BSt%2B12th%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10036,951,53,https://onebite.app/restaurant/intrepid-summer-movie-series-new-york-ny-5bb90165,2.7,1.0
Muzzarella Pizza,https://onebite.app/restaurant/muzzarella-pizza-new-york-ny-02dfe9e8/review/06c1d0b2-294c-4e09-8a58-db6c6258e31e,6.6,"New York, NY",2017-05-25 18:00:00.000000,NY,New York,"221 Ave A, New York, NY",https://google.com/maps/dir/?api=1&destination=Muzzarella%2BPizza%2C%2B221%2BAve%2BA%2C%2BNew%2BYork%2C%2BNY%2C%2B10009,735,56,https://onebite.app/restaurant/muzzarella-pizza-new-york-ny-02dfe9e8,6.8,13.0
Arturo's,https://onebite.app/restaurant/arturos-new-york-ny-27b34c7f/review/a29ef640-12e8-441b-859b-be7d173878a0,7.9,"New York, NY",2017-05-24 18:00:00.000000,NY,New York,"106 W Houston St, New York, NY",https://google.com/maps/dir/?api=1&destination=Arturo's%2C%2B106%2BW%2BHouston%2BSt%2C%2BNew%2BYork%2C%2BNY%2C%2B10012,1852,69,https://onebite.app/restaurant/arturos-new-york-ny-27b34c7f,8.3,32.0
Picasso Pizza,https://onebite.app/restaurant/picasso-pizza-new-york-ny-608f090f/review/e2b04280-2df9-4a98-8a81-747c46c7e282,4.2,"New York, NY",2017-05-23 18:00:00.000000,NY,New York,"303 S End Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=Picasso%2BPizza%2C%2B303%2BS%2BEnd%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10280,1874,57,https://onebite.app/restaurant/picasso-pizza-new-york-ny-608f090f,5.3,14.0
Baker's Pizza,https://onebite.app/restaurant/bakers-pizza-new-york-ny-f7a5f020/review/d9bf2672-1cb6-418d-8f33-3176f9eba50a,7.3,"New York, NY",2017-05-22 18:00:00.000000,NY,New York,"201 Avenue A, New York, NY",https://google.com/maps/dir/?api=1&destination=Baker's%2BPizza%2C%2B201%2BAvenue%2BA%2C%2BNew%2BYork%2C%2BNY%2C%2B10009,1656,60,https://onebite.app/restaurant/bakers-pizza-new-york-ny-f7a5f020,7.1,19.0
Sutton Pizzeria,https://onebite.app/restaurant/sutton-pizzeria-new-york-ny-0549e9e7/review/b1fa3c96-b085-4500-bbf6-9d605e9eed1a,6.3,"New York, NY",2017-05-17 18:00:00.000000,NY,New York,"1140 1st Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=Sutton%2BPizzeria%2C%2B1140%2B1st%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10065,676,53,https://onebite.app/restaurant/sutton-pizzeria-new-york-ny-0549e9e7,6.3,1.0
Halftime Pizza,https://onebite.app/restaurant/halftime-pizza-boston-ma-bfea78c5/review/ab0bce42-7657-4987-a067-43104f798f3e,9.2,"Boston, MA",2017-05-17 16:00:00.000000,MA,Boston,"115 Causeway St, Boston, MA",https://google.com/maps/dir/?api=1&destination=Halftime%2BPizza%2C%2B115%2BCauseway%2BSt%2C%2BBoston%2C%2BMA%2C%2B02114,31822,107,https://onebite.app/restaurant/halftime-pizza-boston-ma-bfea78c5,7.5,202.0
John's of Times Square,https://onebite.app/restaurant/johns-of-times-square-new-york-ny-547b5cdf/review/0ec376f7-1439-4ebd-b51a-953dbc0c097e,8.4,"New York, NY",2017-05-16 18:00:00.000000,NY,New York,"260 W 44th St, New York, NY",https://google.com/maps/dir/?api=1&destination=John's%2Bof%2BTimes%2BSquare%2C%2B260%2BW%2B44th%2BSt%2C%2BNew%2BYork%2C%2BNY%2C%2B10036,13419,75,https://onebite.app/restaurant/johns-of-times-square-new-york-ny-547b5cdf,8.3,310.0
Pizza Park,https://onebite.app/restaurant/pizza-park-new-york-ny-e4cf7a5b/review/404f9c4c-1bfc-487a-97d3-0f011ecdb444,4.0,"New York, NY",2017-05-15 18:00:00.000000,NY,New York,"1233 1st Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=Pizza%2BPark%2C%2B1233%2B1st%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10021,2071,48,https://onebite.app/restaurant/pizza-park-new-york-ny-e4cf7a5b,6.9,13.0
Cafe Daniello's,https://onebite.app/restaurant/cafe-daniellos-new-york-ny-43d65e15/review/d73c49f9-63b5-4d36-aa9d-eff7488263ab,8.1,"New York, NY",2017-05-12 18:00:00.000000,NY,New York,"1072 2nd Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=Cafe%2BDaniello's%2C%2B1072%2B2nd%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10022,2905,58,https://onebite.app/restaurant/cafe-daniellos-new-york-ny-43d65e15,7.3,47.0
Kiss My Slice,https://onebite.app/restaurant/kiss-my-slice-new-york-ny-43cf77b1/review/09841934-4e1e-4ac4-86cc-3ced974e7f98,7.1,"New York, NY",2017-05-11 18:00:00.000000,NY,New York,"401 E 57th St, New York, NY",https://google.com/maps/dir/?api=1&destination=Kiss%2BMy%2BSlice%2C%2B401%2BE%2B57th%2BSt%2C%2BNew%2BYork%2C%2BNY%2C%2B10022,908,50,https://onebite.app/restaurant/kiss-my-slice-new-york-ny-43cf77b1,6.1,11.0
Sofia Pizza Shoppe,https://onebite.app/restaurant/sofia-pizza-shoppe-new-york-ny-1d7be0f2/review/8795f4a4-d996-4ac7-b981-fdf71296b8b5,7.9,"New York, NY",2020-11-23 20:45:16.827840,NY,New York,"989 1st Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=Sofia%2BPizza%2BShoppe%2C%2B989%2B1st%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10022,1495,58,https://onebite.app/restaurant/sofia-pizza-shoppe-new-york-ny-1d7be0f2,7.7,32.0
IPizzaNY,https://onebite.app/restaurant/ipizzany-new-york-ny-e59814ae/review/1a566e1b-83fc-44d6-b73d-ea29b9bba1be,2.1,"New York, NY",2020-11-23 20:45:16.827840,NY,New York,"707 9th Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=IPizzaNY%2C%2B707%2B9th%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10019,1805,60,https://onebite.app/restaurant/ipizzany-new-york-ny-e59814ae,5.7,8.0
Uncle Mario's Brick Oven Piz...,https://onebite.app/restaurant/uncle-marios-brick-oven-pizza-new-york-ny-21b004a1/review/ecf022ed-8b70-49a1-ba2c-1d7f2c3c56a1,7.1,"New York, NY",2020-11-23 20:45:16.827840,NY,New York,"739 9th Ave, New York, NY",https://google.com/maps/dir/?api=1&destination=Uncle%2BMario's%2BBrick%2BOven%2BPizza%2C%2B739%2B9th%2BAve%2C%2BNew%2BYork%2C%2BNY%2C%2B10019,1215,49,https://onebite.app/restaurant/uncle-marios-brick-oven-pizza-new-york-ny-21b004a1,7.2,29.0
Pranzo Pizza & Pasta,https://onebite.app/restaurant/pranzo-pizza-and-pasta-new-york-ny-f2862b05/review/5be73ea6-23b9-44d7-bfde-c0e5b142ec27,5.9,"New York, NY",2020-11-23 20:45:16.827840,NY,New York,"34 Water St, New York, NY",https://google.com/maps/dir/?api=1&destination=Pranzo%2BPizza%2B%26%2BPasta%2C%2B34%2BWater%2BSt%2C%2BNew%2BYork%2C%2BNY%2C%2B10004,890,49,https://onebite.app/restaurant/pranzo-pizza-and-pasta-new-york-ny-f2862b05,6.1,11.0
The Grotto Pizzeria & Ristor...,https://onebite.app/restaurant/the-grotto-pizzeria-and-ristorante-new-york-ny-98928e5d/review/b95f9666-634b-45d5-a329-e977c95a9e5c,3.3,"New York, NY",2020-11-23 20:45:16.827840,NY,New York,"69 New St, New York, NY",https://google.com/maps/dir/?api=1&destination=The%2BGrotto%2BPizzeria%2B%26%2BRistorante%2C%2B69%2BNew%2BSt%2C%2BNew%2BYork%2C%2BNY%2C%2B10004,1681,52,https://onebite.app/restaurant/the-grotto-pizzeria-and-ristorante-new-york-ny-98928e5d,5.7,14.0
Neapolitan Express,https://onebite.app/restaurant/neapolitan-express-new-york-ny-e7002ffc/review/ee54f031-0f99-4f07-ba66-a5d08a0d531c,8.1,"New York, NY",2017-04-28 18:00:00.000000,NY,New York,"40 Wall St, New York, NY",https://google.com/maps/dir/?api=1&destination=Neapolitan%2BExpress%2C%2B40%2BWall%2BSt%2C%2BNew%2BYork%2C%2BNY%2C%2B10005,4666,47,https://onebite.app/restaurant/neapolitan-express-new-york-ny-e7002ffc,7.4,62.0
Phil's Pizza,https://onebite.app/restaurant/phils-pizza-new-york-ny-825e3a9b/review/3ef5c093-89d1-4b5e-9053-9f02ff229112,7.7,"New York, NY",2017-04-27 18:00:00.000000,NY,New York,"226 Varick St, New York, NY",https://google.com/maps/dir/?api=1&destination=Phil's%2BPizza%2C%2B226%2BVarick%2BSt%2C%2BNew%2BYork%2C%2BNY%2C%2B10014,813,52,https://onebite.app/restaurant/phils-pizza-new-york-ny-825e3a9b,7.4,12.0
